# Gene set generated on 2022-03-22T15:55:33 using cellxgene version 1.0.1
# Input data file was ../data/out_data/ext_data/human_integrated.h5ad, which was last modified on 2022-02-22T15:01:30
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (22/03/2022, 15:55:31)",,GRCh38_C7,
"Pop1 high (22/03/2022, 15:55:31)",,OTOGL,
"Pop1 high (22/03/2022, 15:55:31)",,OLFML1,
"Pop1 high (22/03/2022, 15:55:31)",,OLFML2B,
"Pop1 high (22/03/2022, 15:55:31)",,ONECUT1,
"Pop1 high (22/03/2022, 15:55:31)",,NUDT11,
"Pop1 high (22/03/2022, 15:55:31)",,OPRK1,
"Pop1 high (22/03/2022, 15:55:31)",,OR2F1,
"Pop1 high (22/03/2022, 15:55:31)",,OSGIN1,
"Pop1 high (22/03/2022, 15:55:31)",,OSM,
"Pop1 high (22/03/2022, 15:55:31)",,OSMR,
"Pop1 high (22/03/2022, 15:55:31)",,OSMR-AS1,
"Pop1 high (22/03/2022, 15:55:31)",,OVCH1,
"Pop1 high (22/03/2022, 15:55:31)",,GRCh38_C5orf47,
"Pop1 high (22/03/2022, 15:55:31)",,OXLD1,
"Pop1 high (22/03/2022, 15:55:31)",,OXTR,
"Pop1 high (22/03/2022, 15:55:31)",,P2RX1,
"Pop1 high (22/03/2022, 15:55:31)",,OR2AT4,
"Pop1 high (22/03/2022, 15:55:31)",,NUDT1,
"Pop1 high (22/03/2022, 15:55:31)",,NTM-AS1,
"Pop1 high (22/03/2022, 15:55:31)",,NSMCE3,
"Pop1 high (22/03/2022, 15:55:31)",,NNMT,
"Pop1 high (22/03/2022, 15:55:31)",,NOD2,
"Pop1 high (22/03/2022, 15:55:31)",,NOMO2,
"Pop1 high (22/03/2022, 15:55:31)",,OLFM3,
"Pop1 high (22/03/2022, 15:55:31)",,OLAH,
"Pop1 high (22/03/2022, 15:55:31)",,OASL,
"Pop1 high (22/03/2022, 15:55:31)",,NXPH2,
"Pop1 high (22/03/2022, 15:55:31)",,LINC01049,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00534,
"Pop1 high (22/03/2022, 15:55:31)",,KLF2,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00539,
"Pop1 high (22/03/2022, 15:55:31)",,NOS1,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00622,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00639,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00649,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00698,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00839,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00844,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00847,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00871,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00877,
"Pop1 high (22/03/2022, 15:55:31)",,LINC00920,
"Pop1 high (22/03/2022, 15:55:31)",,M1AP,
"Pop1 high (22/03/2022, 15:55:31)",,MAD2L1,
"Pop1 high (22/03/2022, 15:55:31)",,MAG,
"Pop1 high (22/03/2022, 15:55:31)",,NUDT14,
"Pop1 high (22/03/2022, 15:55:31)",,NUDT18,
"Pop1 high (22/03/2022, 15:55:31)",,NUPR1,
"Pop1 high (22/03/2022, 15:55:31)",,NOP10,
"Pop2 high (22/03/2022, 15:55:31)",,LINC01023,
"Pop2 high (22/03/2022, 15:55:31)",,AC114954.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC114930.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC114757.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC114485.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC114316.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC112907.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC112487.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC112206.2,
"Pop2 high (22/03/2022, 15:55:31)",,AC110809.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC110611.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC110597.3,
"Pop2 high (22/03/2022, 15:55:31)",,AC110014.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC109811.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC109472.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC108734.4,
"Pop2 high (22/03/2022, 15:55:31)",,AC108667.2,
"Pop2 high (22/03/2022, 15:55:31)",,AC099782.2,
"Pop2 high (22/03/2022, 15:55:31)",,AC099520.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC117461.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC092131.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC092652.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC116099.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC105389.3,
"Pop2 high (22/03/2022, 15:55:31)",,AC116345.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC116611.1,
"Pop2 high (22/03/2022, 15:55:31)",,GRCh38_C4BPB,
"Pop2 high (22/03/2022, 15:55:31)",,AC105383.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC092546.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC105031.2,
"Pop2 high (22/03/2022, 15:55:31)",,AC104664.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC099521.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC104389.5,
"Pop2 high (22/03/2022, 15:55:31)",,AC104248.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC104123.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC104051.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC104041.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC103591.3,
"Pop2 high (22/03/2022, 15:55:31)",,AC103409.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC100849.2,
"Pop2 high (22/03/2022, 15:55:31)",,AC100822.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC100810.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC107373.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC107419.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC108067.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC108463.3,
"Pop2 high (22/03/2022, 15:55:31)",,AC116667.2,
"Pop2 high (22/03/2022, 15:55:31)",,AC116362.1,
"Pop2 high (22/03/2022, 15:55:31)",,AC105046.1,
"Pop2 high (22/03/2022, 15:55:31)",,OR3A2,
